"lag","cost","nu","gamma","corr_pred"
4,32,0.8,0.25,0.621195570772543
5,32,0.8,0.25,0.621195570772543
1,128,0.8,0.125,0.621061858394925
2,128,0.8,0.125,0.621061858394925
3,128,0.8,0.125,0.621061858394925
4,128,0.8,0.125,0.621061858394925
5,128,0.8,0.125,0.621061858394925
1,1024,0.7,0.0625,0.620887676606744
2,1024,0.7,0.0625,0.620887676606744
3,1024,0.7,0.0625,0.620887676606744
4,1024,0.7,0.0625,0.620887676606744
5,1024,0.7,0.0625,0.620887676606744
1,8,0.4,0.125,0.620799547677223
2,8,0.4,0.125,0.620799547677223
3,8,0.4,0.125,0.620799547677223
4,8,0.4,0.125,0.620799547677223
5,8,0.4,0.125,0.620799547677223
1,1024,0.8,0.0625,0.62061976667988
2,1024,0.8,0.0625,0.62061976667988
3,1024,0.8,0.0625,0.62061976667988
4,1024,0.8,0.0625,0.62061976667988
5,1024,0.8,0.0625,0.62061976667988
1,16,0.8,0.25,0.620605547184616
2,16,0.8,0.25,0.620605547184616
3,16,0.8,0.25,0.620605547184616
4,16,0.8,0.25,0.620605547184616
5,16,0.8,0.25,0.620605547184616
1,4096,0.9,0.125,0.620511613842038
2,4096,0.9,0.125,0.620511613842038
3,4096,0.9,0.125,0.620511613842038
4,4096,0.9,0.125,0.620511613842038
5,4096,0.9,0.125,0.620511613842038
1,4,0.6,0.125,0.620170209418994
2,4,0.6,0.125,0.620170209418994
3,4,0.6,0.125,0.620170209418994
4,4,0.6,0.125,0.620170209418994
5,4,0.6,0.125,0.620170209418994
1,128,0.4,0.125,0.620166347393495
2,128,0.4,0.125,0.620166347393495
3,128,0.4,0.125,0.620166347393495
4,128,0.4,0.125,0.620166347393495
5,128,0.4,0.125,0.620166347393495
1,512,0.9,0.0625,0.620128714139251
2,512,0.9,0.0625,0.620128714139251
3,512,0.9,0.0625,0.620128714139251
4,512,0.9,0.0625,0.620128714139251
5,512,0.9,0.0625,0.620128714139251
1,16,0.3,0.0625,0.619995201339908
2,16,0.3,0.0625,0.619995201339908
3,16,0.3,0.0625,0.619995201339908
4,16,0.3,0.0625,0.619995201339908
5,16,0.3,0.0625,0.619995201339908
1,128,0.9,0.25,0.619857505764819
2,128,0.9,0.25,0.619857505764819
3,128,0.9,0.25,0.619857505764819
4,128,0.9,0.25,0.619857505764819
5,128,0.9,0.25,0.619857505764819
1,32,0.4,0.125,0.619666831598265
2,32,0.4,0.125,0.619666831598265
3,32,0.4,0.125,0.619666831598265
4,32,0.4,0.125,0.619666831598265
5,32,0.4,0.125,0.619666831598265
1,8,0.9,0.5,0.619630201025432
2,8,0.9,0.5,0.619630201025432
3,8,0.9,0.5,0.619630201025432
4,8,0.9,0.5,0.619630201025432
5,8,0.9,0.5,0.619630201025432
1,2048,0.9,0.125,0.619277642662455
2,2048,0.9,0.125,0.619277642662455
3,2048,0.9,0.125,0.619277642662455
4,2048,0.9,0.125,0.619277642662455
5,2048,0.9,0.125,0.619277642662455
1,4,0.9,0.125,0.619225405702407
2,4,0.9,0.125,0.619225405702407
3,4,0.9,0.125,0.619225405702407
4,4,0.9,0.125,0.619225405702407
5,4,0.9,0.125,0.619225405702407
1,64,0.8,0.25,0.61916689255066
2,64,0.8,0.25,0.61916689255066
3,64,0.8,0.25,0.61916689255066
4,64,0.8,0.25,0.61916689255066
5,64,0.8,0.25,0.61916689255066
1,2048,0.9,0.0625,0.619153181747843
2,2048,0.9,0.0625,0.619153181747843
3,2048,0.9,0.0625,0.619153181747843
4,2048,0.9,0.0625,0.619153181747843
5,2048,0.9,0.0625,0.619153181747843
1,4,0.8,0.125,0.619149428582558
2,4,0.8,0.125,0.619149428582558
3,4,0.8,0.125,0.619149428582558
4,4,0.8,0.125,0.619149428582558
5,4,0.8,0.125,0.619149428582558
1,8,0.8,0.25,0.618782019973132
2,8,0.8,0.25,0.618782019973132
3,8,0.8,0.25,0.618782019973132
4,8,0.8,0.25,0.618782019973132
5,8,0.8,0.25,0.618782019973132
1,8,0.4,0.0625,0.618639828350465
2,8,0.4,0.0625,0.618639828350465
3,8,0.4,0.0625,0.618639828350465
4,8,0.4,0.0625,0.618639828350465
5,8,0.4,0.0625,0.618639828350465
1,64,0.7,0.25,0.618332794578366
2,64,0.7,0.25,0.618332794578366
3,64,0.7,0.25,0.618332794578366
4,64,0.7,0.25,0.618332794578366
5,64,0.7,0.25,0.618332794578366
1,1024,0.5,0.0625,0.618003173159533
2,1024,0.5,0.0625,0.618003173159533
3,1024,0.5,0.0625,0.618003173159533
4,1024,0.5,0.0625,0.618003173159533
5,1024,0.5,0.0625,0.618003173159533
1,16,0.4,0.125,0.617992674016218
2,16,0.4,0.125,0.617992674016218
3,16,0.4,0.125,0.617992674016218
4,16,0.4,0.125,0.617992674016218
5,16,0.4,0.125,0.617992674016218
1,16,0.9,0.5,0.617809635519709
2,16,0.9,0.5,0.617809635519709
3,16,0.9,0.5,0.617809635519709
4,16,0.9,0.5,0.617809635519709
5,16,0.9,0.5,0.617809635519709
1,1024,0.9,0.0625,0.617714801773468
2,1024,0.9,0.0625,0.617714801773468
3,1024,0.9,0.0625,0.617714801773468
4,1024,0.9,0.0625,0.617714801773468
5,1024,0.9,0.0625,0.617714801773468
1,32,0.7,0.25,0.61743583007733
2,32,0.7,0.25,0.61743583007733
3,32,0.7,0.25,0.61743583007733
4,32,0.7,0.25,0.61743583007733
5,32,0.7,0.25,0.61743583007733
1,4,0.7,0.25,0.617419011750233
2,4,0.7,0.25,0.617419011750233
3,4,0.7,0.25,0.617419011750233
4,4,0.7,0.25,0.617419011750233
5,4,0.7,0.25,0.617419011750233
1,128,0.5,0.125,0.617358988479374
2,128,0.5,0.125,0.617358988479374
3,128,0.5,0.125,0.617358988479374
4,128,0.5,0.125,0.617358988479374
5,128,0.5,0.125,0.617358988479374
1,128,0.9,0.125,0.617273398975406
2,128,0.9,0.125,0.617273398975406
3,128,0.9,0.125,0.617273398975406
4,128,0.9,0.125,0.617273398975406
5,128,0.9,0.125,0.617273398975406
1,512,0.8,0.0625,0.617214103606179
2,512,0.8,0.0625,0.617214103606179
3,512,0.8,0.0625,0.617214103606179
4,512,0.8,0.0625,0.617214103606179
5,512,0.8,0.0625,0.617214103606179
1,128,0.3,0.0625,0.616960925352038
2,128,0.3,0.0625,0.616960925352038
3,128,0.3,0.0625,0.616960925352038
4,128,0.3,0.0625,0.616960925352038
5,128,0.3,0.0625,0.616960925352038
1,16,0.3,0.125,0.616706498948242
2,16,0.3,0.125,0.616706498948242
3,16,0.3,0.125,0.616706498948242
4,16,0.3,0.125,0.616706498948242
5,16,0.3,0.125,0.616706498948242
1,1024,0.4,0.25,0.616522700351396
2,1024,0.4,0.25,0.616522700351396
3,1024,0.4,0.25,0.616522700351396
4,1024,0.4,0.25,0.616522700351396
5,1024,0.4,0.25,0.616522700351396
1,16,0.7,0.25,0.616520239925411
2,16,0.7,0.25,0.616520239925411
3,16,0.7,0.25,0.616520239925411
4,16,0.7,0.25,0.616520239925411
5,16,0.7,0.25,0.616520239925411
1,8,0.3,0.0625,0.616450720507245
2,8,0.3,0.0625,0.616450720507245
3,8,0.3,0.0625,0.616450720507245
4,8,0.3,0.0625,0.616450720507245
5,8,0.3,0.0625,0.616450720507245
1,4,0.9,0.5,0.616344732960829
2,4,0.9,0.5,0.616344732960829
3,4,0.9,0.5,0.616344732960829
4,4,0.9,0.5,0.616344732960829
5,4,0.9,0.5,0.616344732960829
1,4096,0.6,0.125,0.616320187302678
2,4096,0.6,0.125,0.616320187302678
3,4096,0.6,0.125,0.616320187302678
4,4096,0.6,0.125,0.616320187302678
5,4096,0.6,0.125,0.616320187302678
1,1024,0.4,0.0625,0.61631673564307
2,1024,0.4,0.0625,0.61631673564307
3,1024,0.4,0.0625,0.61631673564307
4,1024,0.4,0.0625,0.61631673564307
5,1024,0.4,0.0625,0.61631673564307
1,4,0.8,0.25,0.616252780568587
2,4,0.8,0.25,0.616252780568587
3,4,0.8,0.25,0.616252780568587
4,4,0.8,0.25,0.616252780568587
5,4,0.8,0.25,0.616252780568587
1,128,0.6,0.25,0.615990053738689
2,128,0.6,0.25,0.615990053738689
3,128,0.6,0.25,0.615990053738689
4,128,0.6,0.25,0.615990053738689
5,128,0.6,0.25,0.615990053738689
1,8,0.7,0.25,0.615704976745927
2,8,0.7,0.25,0.615704976745927
3,8,0.7,0.25,0.615704976745927
4,8,0.7,0.25,0.615704976745927
5,8,0.7,0.25,0.615704976745927
1,4,0.5,0.125,0.615294524422819
2,4,0.5,0.125,0.615294524422819
3,4,0.5,0.125,0.615294524422819
4,4,0.5,0.125,0.615294524422819
5,4,0.5,0.125,0.615294524422819
1,4096,0.8,0.125,0.614950182525342
2,4096,0.8,0.125,0.614950182525342
3,4096,0.8,0.125,0.614950182525342
4,4096,0.8,0.125,0.614950182525342
5,4096,0.8,0.125,0.614950182525342
1,128,0.7,0.25,0.614713751980905
2,128,0.7,0.25,0.614713751980905
3,128,0.7,0.25,0.614713751980905
4,128,0.7,0.25,0.614713751980905
5,128,0.7,0.25,0.614713751980905
1,64,0.6,0.25,0.614684641263725
2,64,0.6,0.25,0.614684641263725
