PAM,VFSC
91.72,56.90
91.61,56.80
91.52,56.73
91.45,56.68
91.40,56.62
91.31,56.33
91.25,56.02
91.23,55.74
91.28,55.51
91.39,55.35
91.70,55.51
92.10,55.78
92.53,56.07
92.99,56.36
93.43,56.61
93.75,56.55
94.03,56.39
94.29,56.20
94.52,55.99
94.73,55.80
94.91,55.77
95.08,55.82
95.25,55.90
95.43,56.00
95.61,56.11
95.85,56.19
96.13,56.26
96.43,56.31
96.72,56.33
97.01,56.32
97.27,56.23
97.50,56.07
97.71,55.90
97.91,55.72
98.09,55.55
98.25,55.45
98.38,55.45
98.50,55.46
98.61,55.47
98.71,55.46
98.81,55.41
98.91,55.22
99.00,55.02
99.09,54.80
99.18,54.60
99.27,54.42
99.29,54.30
99.31,54.24
99.37,54.23
99.49,54.28
99.69,54.40
100.14,54.75
100.73,55.19
101.38,55.65
102.06,56.06
102.73,56.40
103.28,56.41
103.75,56.20
104.18,55.91
104.57,55.57
104.91,55.22
105.24,55.02
105.54,54.97
105.79,54.92
105.96,54.86
106.05,54.76
106.04,54.57
105.75,54.05
105.38,53.48
104.98,52.90
104.55,52.36
104.14,51.88
103.93,51.71
103.81,51.72
103.72,51.80
103.63,51.94
103.53,52.11
103.38,52.27
103.11,52.37
102.82,52.44
102.50,52.49
102.17,52.50
101.82,52.46
101.45,52.23
101.07,51.92
100.70,51.60
100.35,51.30
100.03,51.04
99.77,50.95
99.60,51.11
99.46,51.32
99.34,51.55
99.23,51.78
99.12,51.97
98.96,51.90
98.79,51.74
98.60,51.55
98.41,51.35
98.21,51.17
97.98,51.03
97.68,51.00
97.40,51.02
97.16,51.08
96.96,51.21
96.84,51.39
96.98,51.75
97.20,52.16
97.46,52.59
97.74,53.03
98.02,53.46
98.20,53.81
98.29,54.09
98.35,54.32
98.39,54.50
98.41,54.64
98.42,54.70
98.43,54.62
98.43,54.51
98.43,54.39
98.43,54.29
98.45,54.23
98.51,54.36
98.60,54.60
98.70,54.87
98.78,55.16
98.85,55.46
98.88,55.71
98.87,55.89
98.83,56.05
98.76,56.16
98.68,56.22
98.58,56.23
98.46,56.08
98.32,55.89
98.18,55.67
98.03,55.43
97.89,55.20
97.77,55.05
97.67,54.96
97.57,54.90
97.48,54.84
97.37,54.78
97.26,54.70
97.12,54.56
96.96,54.42
96.81,54.30
96.64,54.21
96.47,54.16
96.31,54.26
96.15,54.43
95.98,54.62
95.80,54.82
95.62,55.02
95.40,55.15
95.10,55.12
94.82,55.09
94.56,55.09
94.34,55.13
94.19,55.24
94.25,55.72
94.38,56.26
94.56,56.82
94.75,57.34
94.96,57.79
95.10,57.93
95.19,57.84
95.27,57.66
95.32,57.41
95.35,57.10
95.34,56.79
95.28,56.52
95.20,56.25
95.10,56.01
95.00,55.78
94.90,55.60
94.82,55.52
94.76,55.49
94.70,55.51
94.67,55.57
94.65,55.66
94.67,55.78
94.74,55.93
94.81,56.09
94.88,56.28
94.94,56.49
94.97,56.72
94.95,57.01
94.90,57.29
94.83,57.56
94.74,57.80
94.63,58.00
94.47,58.07
94.29,58.05
94.10,57.99
93.93,57.88
93.77,57.75
93.63,57.57
93.53,57.33
93.48,57.11
93.49,56.93
93.58,56.82
93.78,56.89
94.16,57.23
94.60,57.64
95.10,58.08
95.63,58.50
96.19,58.85
96.74,58.90
97.28,58.88
97.80,58.81
98.28,58.71
98.72,58.60
99.02,58.56
99.23,58.56
99.39,58.56
99.52,58.55
99.61,58.53
99.71,58.46
99.82,58.31
99.93,58.15
100.02,58.00
100.11,57.88
100.20,57.81
100.33,58.00
100.44,58.21
100.52,58.39
100.56,58.52
100.56,58.57
100.42,58.18
100.20,57.59
99.93,56.93
99.63,56.27
99.31,55.64
98.97,55.15
98.66,55.07
98.35,55.08
98.04,55.16
97.73,55.28
97.44,55.42
97.19,55.45
96.95,55.42
96.74,55.39
96.54,55.37
96.36,55.37
96.20,55.40
96.06,55.46
95.93,55.58
95.83,55.75
95.74,55.99
95.68,56.30
